NO,PART_NO,SPAREPART,STOK,TERJUAL,HARGA,KATEGORI,KLASIFIKASI
534,09460-01028-000,CLIP,Sedang,Tinggi,Murah,Slow,Laris
535,09460-01029-000,CLIP,Sedang,Tinggi,Murah,Slow,Laris
536,39312-78A00-000,"WIRE,NOISE SUUPPR",Dikit,Rendah,Murah,Slow,Laris
537,45313-77A01-000,"WASHER,COMPRESSION ROD",Sedang,Tinggi,Murah,Critical,Laris
538,11100-65G03-000,"HEAD ASSY,CYLINDER",Dikit,Rendah,Mahal,Critical,Laris
539,42451-76G00-000,"BUSHING,STABILIZER BAR",Banyak,Tinggi,Murah,Critical,Laris
540,11402-61862-000,"GASKET SET,ENGINE",Dikit,Rendah,Mahal,Critical,Laris
541,11810-76A00-000,"MOUNTING COMP,REAR",Dikit,Rendah,Mahal,Critical,Laris
542,12140-63E50-000,"RING SET,PISTON",Sedang,Tinggi,Mahal,Critical,Laris
543,12140-63E50-050,"RING SET,PISTON,OS:0.50",Sedang,Tinggi,Mahal,Critical,Laris
544,13880-76A30-000,"HOSE ASSY,AIR CLEANER OUTLET",Banyak,Tinggi,Murah,Fast,Laris
545,17877-77A01-000,"HOSE,HEATER RETURN",Banyak,Tinggi,Murah,Fast,Laris
546,14183-75FC0-000,"RING,EXHAUST PIPE SEAL",Sedang,Tinggi,Murah,Critical,Laris
547,83830-77A00-000,WEATHERSTRIP RR DR OUT,Banyak,Rendah,Mahal,Slow,Tidak Laris
548,84611-79A01-000,MOLDING WINDSHIELD,Sedang,Tinggi,Mahal,Slow,Laris
549,72382-54G01-000,"COVER, ENGINE UNDER",Banyak,Tinggi,Murah,Slow,Laris
550,11620-54G02-000,"MOUNTING,ENG LH",Sedang,Rendah,Mahal,Critical,Tidak Laris
551,46300-59J00-000,"ROD ASSY,REAR CONTROL",Sedang,Tinggi,Mahal,Critical,Laris
552,11630-60H00-000,"MOUNTING COMP,FR R",Dikit,Rendah,Mahal,Critical,Laris
553,65730-80016-000,"PANEL,BODY SIDE UPPER",Sedang,Tinggi,Mahal,Slow,Laris
554,23266-61J01-000,"ARM,CLUTCH RELEASE",Banyak,Tinggi,Murah,Critical,Laris
555,37990-61J00-R8H,"SWITCH ASSY,P/W MAIN(BEIGE)",Dikit,Rendah,Mahal,Slow,Tidak Laris
556,38315-74G00-000,"COVER,RR WIPER HEAD",Sedang,Tinggi,Murah,Slow,Laris
557,23260-77501-000,"SHAFT,CLUTCH RELEASE",Sedang,Tinggi,Murah,Critical,Laris
558,14120-83003-000,"COVER,EXH MANF,UPPER",Sedang,Tinggi,Mahal,Slow,Laris
559,35650-54G10-000,"LAMP UNIT,RR COMB RH",Dikit,Rendah,Mahal,Slow,Tidak Laris
560,35670-54G10-000,"LAMP UNIT,RR COMB LH",Dikit,Rendah,Mahal,Slow,Tidak Laris
561,72111-82CA0-38B,GRILLE FRONT,Sedang,Rendah,Mahal,Slow,Tidak Laris
562,33321-80C10-000,"CAP,DISTRIBUTOR",Sedang,Tinggi,Murah,Slow,Laris
563,22400-64G80-000,"DISC,CLUTCH",Sedang,Rendah,Mahal,Critical,Tidak Laris
564,37400-70GC3-000,"SWITCH ASSY,COMB",Sedang,Rendah,Mahal,Slow,Tidak Laris
805,42431-80J00-000,"PINION,STEERING",Dikit,Rendah,Mahal,Critical,Laris
566,48550-75F60-000,"PINION,STEERING,R",Dikit,Rendah,Mahal,Critical,Laris
567,17580-65D11-000,"PIPE,WATER OUTLET",Banyak,Tinggi,Murah,Fast,Laris
568,12100-85824-0A0,"BEARING SET,CONNROD",Sedang,Tinggi,Murah,Critical,Laris
569,49130-61J00-000,"BRACKET COMP,PUMP MOUNT",Dikit,Rendah,Mahal,Slow,Tidak Laris
570,38310-82C50-000,"ARM ASSY,WIPER,R",Sedang,Rendah,Murah,Slow,Laris
571,38102-50C01-000,"LINK ASSY,WIPER",Sedang,Rendah,Mahal,Critical,Tidak Laris
756,12100-85824-0B0,"PISTON SET,OS:0.50",Dikit,Rendah,Mahal,Critical,Laris
573,14140-65D02-000,"GASKET,EXHAUST MANIFOLD",Sedang,Tinggi,Murah,Critical,Laris
507,38610-84F21-000,"PISTON SET,STD",Sedang,Rendah,Mahal,Critical,Tidak Laris
575,22100-60J00-000,"COVER ASSY,CLUTCH",Sedang,Rendah,Mahal,Slow,Tidak Laris
576,11620-63J00-000,"MOUNTING,ENG LH",Sedang,Tinggi,Mahal,Critical,Laris
577,17570-86G00-000,"CAP,WATER OUTLET",Sedang,Tinggi,Murah,Slow,Laris
578,17700-63J00-000,RADIATOR ASSY (M/T),Dikit,Rendah,Mahal,Critical,Laris
579,17852-63J00-000,"HOSE,RADIATOR INLET",Sedang,Rendah,Murah,Fast,Laris
580,17871-63J00-000,"HOSE,HEATER INLET",Banyak,Tinggi,Murah,Fast,Laris
581,42111-63J10-000,"STOPPER,FRONT BUMP",Dikit,Rendah,Murah,Slow,Laris
744,09103-14025-000,"BUSHING,TRAILING ARM",Sedang,Rendah,Mahal,Critical,Tidak Laris
583,57420-63J00-000,"HINGE,FRONT HOOD,L",Sedang,Tinggi,Murah,Slow,Laris
584,71751-63J10-5PK,"BEZEL,FRT FOG LAMP,R",Sedang,Tinggi,Murah,Slow,Laris
585,71761-63J10-5PK,"BEZEL,FRT FOG LAMP LH",Sedang,Tinggi,Murah,Slow,Laris
586,72321-63J10-000,"LINING,FR FENDER,R",Banyak,Tinggi,Mahal,Slow,Tidak Laris
587,72322-63J10-000,"LINING,FR FENDER,L",Banyak,Tinggi,Mahal,Slow,Tidak Laris
588,75511-63J00-000,"LINING,REAR FENDER, R",Sedang,Rendah,Mahal,Slow,Tidak Laris
589,75521-63J00-000,"LINING,REAR FENDER,L",Sedang,Tinggi,Mahal,Slow,Laris
590,77831-63J10-0PG,EMBLEM SWIFT (CHROME),Sedang,Rendah,Murah,Slow,Laris
591,17889-77EA1-000,"O RING,HTR PIPE",Banyak,Tinggi,Murah,Fast,Laris
592,33410-77E22-000,"COIL ASSY,IGNITION",Dikit,Rendah,Mahal,Critical,Laris
593,11518-63J01-000,"PLUG,OIL DRAIN,14X22",Banyak,Tinggi,Murah,Fast,Laris
705,11189-65J00-000,"MOUNTING,ENG RR",Sedang,Rendah,Mahal,Critical,Tidak Laris
595,12100-85824-025,"BEARING SET,CONNROD,US:0.25",Sedang,Tinggi,Murah,Critical,Laris
596,37480-62J20-000,"CABLE ASSY,CONTACT COIL",Sedang,Rendah,Mahal,Critical,Tidak Laris
597,65171-63J00-000,"BRACKET,ROOF CARRIER",Banyak,Tinggi,Murah,Slow,Laris
598,12100-85824-0C0,"BEARING SET,CONNROD",Sedang,Tinggi,Murah,Critical,Laris
599,12100-85824-0E0,"BEARING SET,CONNROD",Sedang,Rendah,Murah,Critical,Laris
574,12100-54812-000,"MOUNTING,ENG RR",Sedang,Rendah,Mahal,Critical,Tidak Laris
601,12100-85824-0D0,"BEARING SET,CONNROD",Sedang,Tinggi,Murah,Critical,Laris
602,26591-65D10-000,"SOLENOID ASSY,TRANSMISSION",Dikit,Rendah,Mahal,Critical,Laris
603,26631-65DV0-000,"PLATE SET,DIRECT CL",Dikit,Rendah,Mahal,Critical,Laris
604,73620-54J01-C48,"LOUVER,CENTER VENT,L",Sedang,Rendah,Murah,Slow,Laris
605,12772-77E01-000,"GUIDE,TIMING CHAIN NO.2",Sedang,Tinggi,Murah,Critical,Laris
606,11684-65J00-000,"CUSHION,MTG MEMBER LOWER",Sedang,Rendah,Murah,Slow,Laris
607,11710-65J10-000,"MOUNTING COMP,ENG REAR",Sedang,Rendah,Mahal,Critical,Tidak Laris
608,11741-65J00-000,"BRACKET,ENG SPLASH COVER",Sedang,Rendah,Murah,Slow,Laris
609,11851-65D01-000,"HOOK,ENGINE",Sedang,Tinggi,Murah,Critical,Laris
661,27562-66J20-000,"RING SET,PISTON",Dikit,Tinggi,Mahal,Critical,Laris
611,12163-59J00-000,"BOLT,CONNECTING ROD",Sedang,Tinggi,Murah,Critical,Laris
612,12340-85FC0-0B0,"BEARING SET,CRANKSHAFT(STD)",Sedang,Rendah,Murah,Critical,Laris
677,11141-77E02-000,"BEARING SET,CRANKSHAFT(STD)",Sedang,Tinggi,Murah,Critical,Laris
631,16520-65J00-000,"BEARING SET,CRANKSHAFT(STD)",Sedang,Tinggi,Murah,Critical,Laris
615,12610-62G12-000,"PULLEY,CRANKSHAFT",Dikit,Rendah,Mahal,Critical,Laris
616,12710-65J00-000,"CAMSHAFT,INTK",Sedang,Rendah,Mahal,Critical,Tidak Laris
642,17813-54G01-000,"RETAINER,VALVE SPRING",Sedang,Tinggi,Murah,Critical,Laris
618,13110-65J01-000,"MANIFOLD,INTAKE",Dikit,Rendah,Mahal,Critical,Laris
619,13119-65J00-000,"GASKET,INTAKE MANIFOLD",Sedang,Tinggi,Murah,Critical,Laris
620,13175-65J00-000,"BRACKET,ENGINE COVER",Sedang,Rendah,Murah,Slow,Laris
600,11710-63J30-000,"GASKET,THROTTLE BODY",Sedang,Tinggi,Murah,Critical,Laris
622,13491-65J00-000,"HOSE,THROT BODY INLET NO.2",Banyak,Tinggi,Murah,Fast,Laris
623,13700-65J00-000,"CLEANER ASSY,AIR",Banyak,Tinggi,Mahal,Fast,Laris
624,13881-65J00-000,"HOSE,AIR CLEANER OUTLET",Banyak,Tinggi,Murah,Fast,Laris
625,14120-65J00-000,"COVER,EXH MANF",Banyak,Tinggi,Mahal,Slow,Tidak Laris
626,15112-65J00-000,"PIPE,FUEL SUCTION",Sedang,Rendah,Murah,Fast,Laris
627,15195-65J00-000,"FILTER,FUEL SUCTION",Banyak,Tinggi,Murah,Fast,Laris
628,22920-65J11-000,"PIPE COMP,OIL",Banyak,Tinggi,Murah,Fast,Laris
629,22933-64J30-000,"HOSE,OIL NO.3",Banyak,Tinggi,Murah,Fast,Laris
630,22934-64J30-000,"HOSE,OIL NO.4",Sedang,Tinggi,Murah,Fast,Laris
766,14281-65J11-000,"STRAINER,OIL PUMP",Sedang,Rendah,Mahal,Critical,Tidak Laris
739,12300-85860-0BA,"FAN,COOLING (5 BLADES)",Banyak,Rendah,Mahal,Critical,Tidak Laris
633,17111-65J10-000,"FAN,COOLING (7 BLADES)",Sedang,Tinggi,Mahal,Critical,Laris
634,17120-65J00-000,"MOTOR ASSY,FAN MAIN",Dikit,Rendah,Mahal,Critical,Laris
635,17120-65J10-000,"MOTOR ASSY,FAN SUB",Dikit,Rendah,Mahal,Critical,Laris
636,17570-65J00-000,"CAP,WTR OUTLET",Dikit,Tinggi,Mahal,Slow,Laris
637,17580-65J00-000,"PIPE,WTR OUTLET",Sedang,Rendah,Murah,Fast,Laris
638,17590-65J00-000,"PIPE COMP,WTR BYP",Sedang,Tinggi,Murah,Fast,Laris
639,17611-65J00-000,"O RING,WATER PUMP",Banyak,Tinggi,Murah,Fast,Laris
640,17700-65J10-000,RADIATOR ASSY (A/T),Dikit,Rendah,Mahal,Critical,Laris
641,17760-65J00-000,SHROUD ASSY,Dikit,Rendah,Mahal,Slow,Tidak Laris
768,53810-76G00-000,"MOUNT,LOWER",Sedang,Tinggi,Murah,Critical,Laris
643,17841-65J00-000,"HOSE,RADIATOR INLET",Banyak,Tinggi,Murah,Fast,Laris
644,17842-64J00-000,"HOSE,RDTR INLET NO.2",Banyak,Tinggi,Murah,Fast,Laris
645,17851-65J00-000,"HOSE,RADIATOR OUTLET",Banyak,Tinggi,Murah,Fast,Laris
646,17859-65J00-000,"HOSE,WTR BYPASS",Banyak,Rendah,Murah,Fast,Laris
647,17871-65J00-000,"HOSE,HEATER INLET",Banyak,Tinggi,Murah,Fast,Laris
648,17872-65J00-000,"HOSE,HEATER OUTLET",Banyak,Tinggi,Murah,Fast,Laris
649,17880-65J00-000,"PIPE,HTR OUTLET",Banyak,Tinggi,Mahal,Fast,Laris
650,17910-65J00-000,"NECK ASSY,WTR FILLER",Sedang,Tinggi,Murah,Critical,Laris
651,17931-65J00-000,"TANK,WATER RESERVE",Sedang,Tinggi,Murah,Fast,Laris
652,17938-65J00-000,"HOSE,RDTR TO RSV TANK",Sedang,Tinggi,Murah,Fast,Laris
653,24151-64J00-000,"SEAL,PUMP",Banyak,Tinggi,Murah,Fast,Laris
654,22950-65J10-000,"GAUGE COMP,OIL",Sedang,Tinggi,Murah,Critical,Laris
655,23820-64J00-000,"CYLINDER ASSY,CLUTCH OPERATING",Sedang,Rendah,Mahal,Critical,Tidak Laris
656,23830-65J60-000,"PIPE,CLUTCH OIL NO.2",Banyak,Tinggi,Murah,Fast,Laris
657,23881-64J20-000,"HOSE,CLUTCH RESERVOIR",Banyak,Tinggi,Murah,Fast,Laris
658,24241-84A00-000,"GEAR,INPUT SHAFT 4TH",Sedang,Tinggi,Mahal,Critical,Laris
659,24420-84A01-000,"HUB ASSY,5TH SPEED SYNC",Dikit,Rendah,Mahal,Critical,Laris
660,25510-64J00-000,"SHAFT,GEAR SHIFT",Sedang,Tinggi,Murah,Critical,Laris
866,53401-76G02-000,"MOUNTING COMP,RR DIFF FR",Sedang,Rendah,Mahal,Critical,Tidak Laris
784,11720-80JA0-000,"BUSH,GR SHF CONTROL JOINT",Sedang,Tinggi,Murah,Critical,Laris
663,29283-66J00-000,"SEAL,INPUT GEAR",Banyak,Tinggi,Murah,Fast,Laris
664,29283-66J10-000,"SEAL,REAR OUTPUT SHAFT",Banyak,Tinggi,Murah,Fast,Laris
665,32810-65J00-000,"SENSOR ASSY,CURRENT",Sedang,Tinggi,Mahal,Critical,Laris
666,33220-77E00-000,"SENSOR,CRANK POSITION",Dikit,Rendah,Mahal,Critical,Laris
667,33970-65J00-000,"CONTROLLER ASSY,IMM(W/ILLUMI)",Dikit,Rendah,Mahal,Critical,Laris
348,12140-86FA0-050,"GAUGE ASSY,FUEL LEVEL",Dikit,Rendah,Mahal,Critical,Laris
489,22860-57BT0-000,"GAUGE ASSY,FUEL LEVEL",Sedang,Rendah,Mahal,Critical,Tidak Laris
670,35120-65J41-000,"UNIT,HEADLAMP RH",Dikit,Rendah,Mahal,Critical,Laris
671,37172-64J10-000,"SWITCH, KEYLESS START",Sedang,Tinggi,Mahal,Critical,Laris
672,09471-12208-000,"BULB,12V35W/D2S",Dikit,Rendah,Mahal,Fast,Tidak Laris
924,16559-78K00-000,"BUSHING,SPNSN ARM FRONT",Sedang,Tinggi,Murah,Critical,Laris
435,12140-54G00-000,"BUSH,RR SPNSN LATERAL LINK",Sedang,Tinggi,Murah,Critical,Laris
675,46431-65J00-000,"BOLT,RR SPNSN CONT ROD INNER",Sedang,Tinggi,Murah,Critical,Laris
669,34810-65J10-000,"BUSH,REAR SPNSN FRAME",Sedang,Rendah,Mahal,Critical,Tidak Laris
662,28152-84A00-000,"GASKET,CYLINDER HEAD",Sedang,Rendah,Mahal,Critical,Tidak Laris
678,46333-65J00-000,"WASHER,RR SPNSN CONT ROD",Sedang,Tinggi,Murah,Critical,Laris
679,46371-65J00-000,"BUSH,RR SPNSN TRAILING ROD",Banyak,Tinggi,Murah,Critical,Laris
680,37460-64J00-ZCP,"SWITCH ASSY,AUDIO CONTROL(GRAY",Dikit,Rendah,Mahal,Slow,Tidak Laris
681,37990-64J90-000,"SWITCH ASSY,POWER WINDOW MA",Sedang,Rendah,Mahal,Slow,Tidak Laris
682,38450-65J00-000,"TANK ASSY,WASHER",Sedang,Tinggi,Murah,Slow,Laris
683,38452-65J00-000,"CAP,WASHER TANK",Sedang,Rendah,Murah,Slow,Laris
684,38480-65J00-000,"NOZZLE,WASHER",Banyak,Tinggi,Murah,Fast,Laris
685,38491-66J00-000,"HOSE,WASHER (L:2000)",Banyak,Tinggi,Murah,Fast,Laris
686,38640-65J00-000,"SENSOR ASSY,FR HEIGHT",Sedang,Rendah,Mahal,Critical,Tidak Laris
687,41211-65J00-000,"SEAT,COIL SPRING RUBBER UPPER",Banyak,Tinggi,Murah,Critical,Laris
688,41230-65J00-000,"SEAT,COIL SPRING UPPER",Sedang,Tinggi,Murah,Critical,Laris
689,41341-65J00-000,"SEAT,COIL SPRING RUBBER",Sedang,Tinggi,Murah,Critical,Laris
690,42111-65J00-000,"STOPPER,BUMP",Sedang,Rendah,Murah,Slow,Laris
691,43511-65J00-000,"DRUM,REAR BRAKE",Dikit,Rendah,Mahal,Critical,Laris
692,45111-65J00-000,"KNUCKLE,STEERING,R",Dikit,Rendah,Mahal,Critical,Laris
693,45151-65J00-000,"KNUCKLE,STEERING,L",Dikit,Rendah,Mahal,Critical,Laris
694,51300-65J00-000,"BOOSTER ASSY,BRAKE MASTER",Dikit,Rendah,Mahal,Critical,Laris
695,55191-65J00-000,MAIN SLIDE PIN,Sedang,Tinggi,Murah,Critical,Laris
748,12340-85FC0-0A0,SLIDE PIN SET,Sedang,Tinggi,Murah,Critical,Laris
886,11720-80JB0-000,"BOOT,PIN",Sedang,Rendah,Murah,Critical,Laris
828,09262-28041-000,"BOLT,PIN",Banyak,Tinggi,Murah,Critical,Laris
699,55234-50J00-000,"LINER-A,PAD",Sedang,Rendah,Murah,Slow,Laris
700,55235-50J00-000,"LINER-B,PAD",Sedang,Rendah,Murah,Slow,Laris
701,57610-65J10-000,"PANEL,FRONT FENDER,R (WITH TURN SIGNAL)",Dikit,Rendah,Mahal,Slow,Tidak Laris
702,73610-54J01-C48,"LOUVER CENTER VENT,R",Sedang,Tinggi,Murah,Slow,Laris
703,09283-44015-000,"SEAL,OIL,44X60X9.5",Banyak,Tinggi,Murah,Fast,Laris
704,11100-65J01-000,"HEAD ASSY,CYLINDER",Dikit,Rendah,Mahal,Critical,Laris
1.000,36840-76K01-000,"GASKET,CYLINDER HEAD COVER",Sedang,Tinggi,Murah,Critical,Laris
706,11192-65J00-000,"HOSE,PCV",Banyak,Tinggi,Murah,Fast,Laris
707,83719-65J00-000,"WEATHERSTRIP,FR DR INNER,R",Sedang,Tinggi,Mahal,Slow,Laris
708,83729-65J00-000,"WEATHERSTRIP,FR DR INNER,L",Banyak,Tinggi,Mahal,Slow,Tidak Laris
709,83739-65J00-000,"WEATHERSTRIP,RR DR INNER,R",Sedang,Tinggi,Murah,Slow,Laris
710,83749-65J00-000,"WEATHERSTRIP,RR DR INNER,L",Sedang,Rendah,Murah,Slow,Laris
711,83811-65J00-000,"WEATHERSTRIP,FR DR OUT,R",Banyak,Rendah,Murah,Slow,Tidak Laris
712,83821-65J00-000,"WEATHERSTRIP,FR DR OUT,L",Dikit,Rendah,Murah,Slow,Laris
713,83831-65J00-000,"WEATHERSTRIP,RR DR OUT,R",Sedang,Rendah,Murah,Slow,Laris
714,83841-65J00-000,"WEATHERSTRIP,RR DR OUT,L",Dikit,Rendah,Murah,Slow,Laris
715,83900-76820-000,"KEY ASSY,SPARE TIRE NUT LOCK",Sedang,Rendah,Mahal,Slow,Tidak Laris
716,84645-65J00-000,"WEATHERSTRIP,RR DR CTR PLR,R",Sedang,Rendah,Murah,Slow,Laris
717,84651-65J00-000,"WEATHERSTRIP,FR DR OPNG,L",Dikit,Rendah,Mahal,Slow,Tidak Laris
718,84661-65J00-000,"WEATHERSTRIP,RR DR OPNG,R",Sedang,Rendah,Mahal,Slow,Tidak Laris
719,84671-65J00-000,"WEATHERSTRIP,RR DR OPNG,L",Dikit,Rendah,Mahal,Slow,Tidak Laris
720,84681-65J00-000,"WEATHERSTRIP,BACK DR OPNG",Sedang,Rendah,Mahal,Slow,Tidak Laris
721,77641-65J00-5PK,"MOLDING,ROOF DRIP FRT,,L (BLACK)",Sedang,Rendah,Murah,Slow,Laris
722,77641-65J11-5PK,"MOLDING,ROOF DRIP FRT,L (BLACK)",Dikit,Rendah,Murah,Slow,Laris
723,78219-65J10-5PK,"CAP,ROOF RAIL",Sedang,Rendah,Murah,Slow,Laris
724,82510-65J50-000,"LATCH ASSY,BACK DOOR",Dikit,Tinggi,Mahal,Critical,Laris
725,69310-65J00-000,"HINGE, FR DOOR 1",Banyak,Rendah,Murah,Slow,Tidak Laris
726,71711-65J61-799,BUMPER FRONT,Dikit,Rendah,Mahal,Slow,Tidak Laris
727,71830-65J00-000,"HOLDER COMP, RR BUMPER NO.1",Sedang,Rendah,Murah,Slow,Laris
728,72481-65J00-000,"LINING, FR FENDER, R",Sedang,Rendah,Mahal,Slow,Tidak Laris
729,72482-65J00-000,"LINING FENDER, L",Dikit,Rendah,Mahal,Slow,Tidak Laris
613,12340-85FC0-0C0,"PAD, FR FENDER RR",Sedang,Tinggi,Murah,Critical,Laris
731,75521-65J00-000,"LINING,RR WHEEL HSG,R",Dikit,Rendah,Mahal,Slow,Tidak Laris
732,77541-65J00-5PK,"MOLDING,ROOF DRIP FRT,R (BLACK)",Banyak,Rendah,Murah,Slow,Tidak Laris
733,77541-65J11-5PK,"MOLDING,ROOF DRIP FRT,R (BLACK)",Banyak,Tinggi,Murah,Slow,Laris
734,77543-65J00-5PK,"MOLDING,ROOF DRIP REAR,R (BLACK)",Banyak,Tinggi,Mahal,Slow,Tidak Laris
735,35320-65J41-000,"UNIT,HEADLAMP LH",Sedang,Tinggi,Mahal,Critical,Laris
736,11400-65892-000,"GASKET SET,ENGINE",Sedang,Tinggi,Mahal,Critical,Laris
676,46911-65J00-000,"RING SET,PISTON,OS:0.50",Banyak,Rendah,Mahal,Critical,Tidak Laris
738,12300-85860-0AA,"BEARING SET,CRANKSHAFT(US)",Banyak,Tinggi,Murah,Critical,Laris
621,13421-65J00-000,"BEARING SET,CRANKSHAFT(US)",Sedang,Tinggi,Murah,Critical,Laris
920,11320-78K00-000,"BEARING SET,CRANKSHAFT(US)",Sedang,Tinggi,Murah,Critical,Laris
741,12300-85860-0DA,"BEARING SET,CRANKSHAFT(US)",Sedang,Tinggi,Murah,Critical,Laris
742,12300-85860-0EA,"BEARING SET,CRANKSHAFT(US)",Sedang,Tinggi,Murah,Critical,Laris
743,37145-63J01-000,"KEY,BLANK",Sedang,Rendah,Murah,Slow,Laris
696,55192-50J00-000,"BOLT,14X60",Sedang,Tinggi,Murah,Critical,Laris
745,09159-10117-000,NUT,Banyak,Tinggi,Murah,Fast,Laris
746,09159-14028-000,NUT,Banyak,Tinggi,Murah,Fast,Laris
747,09159-14030-000,NUT,Banyak,Tinggi,Murah,Fast,Laris
915,46331-65J01-000,"BEARING SET,CRANKSHAFT(STD)",Sedang,Tinggi,Murah,Critical,Laris
614,12340-85FC0-0D0,"BEARING SET,CRANKSHAFT(STD)",Banyak,Tinggi,Murah,Critical,Laris
750,12340-85FC0-C0D,"BEARING SET,CRANKSHAFT(STD)",Sedang,Tinggi,Murah,Critical,Laris
751,12340-85FC0-D0E,"BEARING SET,CRANKSHAFT(STD)",Banyak,Tinggi,Murah,Critical,Laris
752,17700-65J00-000,RADIATOR ASSY (M/T),Dikit,Rendah,Mahal,Critical,Laris
740,12300-85860-0CA,"TANK ASSY,POWER STEERING OIL",Banyak,Rendah,Mahal,Critical,Tidak Laris
754,49214-65J00-000,"HOSE,SUCTION",Sedang,Tinggi,Murah,Fast,Laris
755,49230-65J00-000,"HOSE COMP,PRESSURE",Dikit,Rendah,Mahal,Fast,Tidak Laris
730,72492-65J00-000,"BEARING SET,CONNROD",Sedang,Tinggi,Murah,Critical,Laris
757,12220-65J01-000,CRANKSHAFT,Dikit,Rendah,Mahal,Critical,Laris
758,17852-65D00-000,"HOSE,WTR BYPASS NO.2",Banyak,Tinggi,Murah,Fast,Laris
759,28210-65J11-000,"CABLE ASSY,SELECT",Sedang,Tinggi,Mahal,Critical,Laris
760,37720-65J10-000,"SWITCH ASSY,SHIFT",Dikit,Rendah,Mahal,Slow,Tidak Laris
761,48525-65J00-000,"BUSHING,STEERING MOUNT",Sedang,Tinggi,Murah,Critical,Laris
762,48830-65J00-000,"TIE-ROD,STEERING",Sedang,Tinggi,Mahal,Critical,Laris
763,84611-65J00-000,"MOLDING,WINDSHIELD",Sedang,Rendah,Mahal,Slow,Tidak Laris
764,84641-65J00-000,"WEATHERSTRIP,FT DR OPNG,R",Sedang,Tinggi,Mahal,Slow,Laris
765,35261-65J00-000,BALLAST ASSY,Dikit,Rendah,Mahal,Slow,Tidak Laris
673,45261-65J00-000,"MOUNTING,MUFFLER",Sedang,Rendah,Murah,Critical,Laris
767,83961-65J00-000,CARRIER SPARETIRE,Dikit,Rendah,Mahal,Slow,Tidak Laris
953,11141-73K01-000,PISTON CUP/BOOT SET,Sedang,Tinggi,Mahal,Critical,Laris
769,15100-8000V-XNA,"PUMP ASSY,FUEL",Dikit,Rendah,Mahal,Critical,Laris
770,35670-65J21-000,"LAMP UNIT,RR COMBINATION LH",Dikit,Rendah,Mahal,Slow,Tidak Laris
771,17140-77E07-000,"PULLEY COMP,COOLING FAN",Sedang,Rendah,Mahal,Critical,Tidak Laris
772,35650-65J21-000,"LAMP UNIT,RR COMBINATION RH",Dikit,Rendah,Mahal,Slow,Tidak Laris
773,35121-83021-000,"UNIT,LAMP",Sedang,Rendah,Mahal,Critical,Tidak Laris
774,35650-80JA0-000,"UNIT,RR COMBINATION RH",Dikit,Rendah,Mahal,Critical,Laris
775,35670-80JA0-000,"UNIT,RR COMBINATION LH",Dikit,Rendah,Mahal,Critical,Laris
776,15100-60AV1-000,"PUMP ASSY,FUEL",Sedang,Tinggi,Mahal,Critical,Laris
777,51100-8076V-000,"CYLINDER ASSY,BRAKE MASTER",Dikit,Rendah,Mahal,Critical,Laris
778,11400-65865-000,"GASKET SET,ENGINE",Dikit,Rendah,Mahal,Critical,Laris
779,11610-80JA0-000,"MOUNTING COMP,ENGINE RH",Sedang,Tinggi,Mahal,Critical,Laris
993,23820-65D01-000,"MOUNTING COMP,ENGINE LH",Banyak,Rendah,Mahal,Critical,Tidak Laris
781,11641-79J00-000,"BRACKET,ENG RH MTG",Banyak,Tinggi,Mahal,Slow,Tidak Laris
782,11710-80J00-000,"MOUNTING COMP,ENGINE RR",Banyak,Tinggi,Mahal,Critical,Laris
594,11710-63J20-000,"MOUNTING COMP,ENGINE RR",Dikit,Rendah,Mahal,Critical,Laris
528,12761-77E11-000,"MOUNTING COMP,ENGINE FR",Sedang,Rendah,Mahal,Critical,Tidak Laris
785,13400-80JA0-000,"BODY ASSY,THROTTLE",Dikit,Rendah,Mahal,Critical,Laris
786,14185-80J00-000,"CLAMP,EXH PIPE",Sedang,Rendah,Murah,Slow,Laris
787,14250-80JB2-000,"PIPE,EXHAUST CENTER",Dikit,Rendah,Mahal,Fast,Tidak Laris
788,14300-80J00-000,MUFFLER,Sedang,Tinggi,Mahal,Critical,Laris
789,17700-80JA0-000,RADIATOR ASSY (A/T),Dikit,Rendah,Mahal,Critical,Laris
790,17700-80JB0-000,RADIATOR ASSY (M/T),Dikit,Rendah,Mahal,Critical,Laris
791,17830-55GA0-000,"PIPE,HEATER INLET",Banyak,Tinggi,Murah,Fast,Laris
792,17840-55GA0-000,"PIPE,WATER INLET NO.1",Banyak,Tinggi,Murah,Fast,Laris
793,17860-80JA0-000,"PIPE COMP,WTR INLET N0.2",Banyak,Tinggi,Murah,Fast,Laris
794,17875-55GA0-000,"HOSE,HEATER INLET NO.2",Banyak,Tinggi,Murah,Fast,Laris
795,17936-80JA0-000,"HOSE,RSVR TANK VENT",Banyak,Tinggi,Murah,Fast,Laris
796,22100-80J21-000,"COVER ASSY,CLUTCH",Dikit,Rendah,Mahal,Slow,Tidak Laris
797,23820-79J00-000,"CYLINDER ASSY,CLUTCH OPERATING",Sedang,Rendah,Mahal,Critical,Tidak Laris
807,48534-79J00-000,"JOINT,CLUTCH OIL",Sedang,Rendah,Murah,Critical,Laris
799,23800-54810-000,PISTON SET,Sedang,Tinggi,Murah,Critical,Laris
800,28300-80J00-000,"CABLE ASSY,SHIFT & SELECT CONT",Dikit,Rendah,Mahal,Critical,Laris
